ActivityID,CustomerID,Type,StartTime,EndTime,Duration,StartCondition,StartLocation,EndCondition,Notes
1386,10,Pump,2025-05-27 01:46:27.000,2025-05-27 02:01:27.000,15,35ml,NULL,63ml,NULL
1385,10,Sleep,2025-05-26 21:15:13.000,2025-05-26 23:30:40.000,135,NULL,NULL,NULL,NULL
1384,10,Diaper,2025-05-26 23:48:33.000,NULL,NULL,NULL,NULL,pee:medium,NULL
1383,10,Feed,2025-05-26 23:38:22.000,NULL,NULL,Formula,Bottle,135ml,NULL
1382,10,Pump,2025-05-26 21:25:50.000,2025-05-26 21:40:50.000,15,35ml,NULL,55ml,NULL
1381,10,Diaper,2025-05-26 20:38:38.000,NULL,NULL,NULL,NULL,"Both, pee:Medium poo:Medium",NULL
1380,10,Diaper,2025-05-26 20:23:42.000,NULL,NULL,NULL,NULL,"Both, pee:Small poo:Small",NULL
1379,10,Feed,2025-05-26 19:54:18.000,NULL,NULL,Formula,Bottle,135ml,NULL
1378,10,Diaper,2025-05-26 19:34:25.000,NULL,NULL,NULL,NULL,"Both, pee:Medium poo:Small",NULL
1377,10,Sleep,2025-05-26 17:50:42.000,2025-05-26 19:34:14.000,103,NULL,NULL,NULL,NULL
1376,10,Diaper,2025-05-26 17:33:05.000,NULL,NULL,NULL,NULL,"Both, pee:Big poo:Small",NULL
1375,10,Pump,2025-05-26 17:00:53.000,2025-05-26 17:20:53.000,20,60ml,NULL,60ml,NULL
1374,10,Feed,2025-05-26 17:00:37.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1373,10,Sleep,2025-05-26 15:20:32.000,2025-05-26 17:00:30.000,99,NULL,NULL,NULL,NULL
1372,10,Pump,2025-05-26 13:22:16.000,2025-05-26 13:42:16.000,20,60ml,NULL,60ml,NULL
1371,10,Feed,2025-05-26 13:22:05.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1370,10,Diaper,2025-05-26 13:15:37.000,NULL,NULL,NULL,NULL,"Both, pee:Big poo:Medium",NULL
1369,10,Sleep,2025-05-26 10:45:54.000,2025-05-26 12:57:52.000,131,NULL,NULL,NULL,NULL
1368,10,Pump,2025-05-26 10:15:47.000,2025-05-26 10:35:47.000,20,60ml,NULL,60ml,NULL
1367,10,Feed,2025-05-26 10:15:24.000,NULL,NULL,Breast Milk,Bottle,120ml,NULL
1366,10,Sleep,2025-05-26 08:50:40.000,2025-05-26 10:15:57.000,85,NULL,NULL,NULL,NULL
1365,10,Sleep,2025-05-26 04:30:59.000,2025-05-26 06:55:19.000,144,NULL,NULL,NULL,NULL
1364,10,Diaper,2025-05-26 07:20:44.000,NULL,NULL,NULL,NULL,"Both, pee:Medium poo:Small",NULL
1363,10,Pump,2025-05-26 07:00:22.000,2025-05-26 07:20:22.000,20,60ml,NULL,60ml,NULL
